day,temperature
1,0.5085834810820871
2,0.5171644325729016
3,0.525740325626653
4,0.5343086328882954
5,0.5428668292383511
6,0.5514123925370735
7,0.5599428043677354
8,0.5684555507788157
9,0.5769481230248743
10,0.5854180183058897
11,0.5938627405048462
12,0.602279800923351
13,0.6106667190150649
14,0.6164313118736393
15,0.6273402511765841
16,0.6356219514799308
17,0.6438636833716789
18,0.6520630179756106
19,0.6602175389101841
20,0.6683248430006508
21,0.6763825409872832
22,0.6843882582295002
23,0.692339635405685
24,0.7002343292084869
25,0.7080700130354065
26,0.7133606537630032
27,0.7235551319846873
28,0.7312000035714186
29,0.7387767394559017
30,0.7462831067392947
31,0.7537168932607055
32,0.7610759082491254
33,0.7683579829690599
34,0.7755609713596648
35,0.7826827506672001
36,0.7897212220706149
37,0.7966743113000809
38,0.8035399692482875
39,0.8103161725743244
40,0.8170009242999694
41,0.8235922543982059
42,0.8300882203738003
43,0.8364869078357632
44,0.8427864310615301
45,0.8489849335526919
46,0.8550805885821139
47,0.8610715997322798
48,0.8669562014247053
49,0.8727326594402618
50,0.8783992714302584
51,0.8839543674181322
52,0.8893963102915979
53,0.8947234962851127
54,0.8999343554525127
55,0.9026314367819872
56,0.910000985387128
57,0.9150275424666982
58,0.919584334241551
59,0.9241912255816348
60,0.9286731058205249
61,0.9330286541275433
62,0.9372565869026122
63,0.9413556581545364
64,0.9453246598682039
65,0.9491624223605919
66,0.952867814625479
67,0.9564397446667571
68,0.9598771598202479
69,0.9631790470639283
70,0.9663444333164722
71,0.9693723857240217
72,0.9776778358476154
73,0.9750124603636127
74,0.9776229204397701
75,0.9800926228490104
76,0.9824208397586978
77,0.9740123317860714
78,0.9866501144332088
79,0.9885499258113739
80,0.9903057592839842
81,0.9919170973988567
82,0.9933834652872525
83,0.9947044308038248
84,0.9958796046539724
85,0.996908640508568
86,0.9791997694478193
87,0.9985271283416545
88,0.9991161033443523
89,0.9995579865404786
90,0.9998526477050269
91,1.0
92,1.0
93,0.9998526477050269
94,0.9995579865404786
95,0.9991161033443523
96,0.9985271283416545
97,0.9977912351060214
98,0.996908640508568
99,0.9958796046539724
100,0.9947044308038248
101,0.9933834652872526
102,0.9919170973988567
103,0.9903057592839842
104,0.9885499258113739
105,0.9866501144332089
106,0.9846068850326227
107,0.9824208397586978
108,0.9800926228490104
109,0.9776229204397703
110,0.9750124603636127
111,0.9722620119351045
112,0.9693723857240217
113,0.9663444333164722
114,0.9631790470639283
115,0.9598771598202479
116,0.956439744666757
117,0.952867814625479
118,0.9491624223605918
119,0.9453246598682039
120,0.9413556581545365
121,0.9372565869026122
122,0.9330286541275433
123,0.9229349563252821
124,0.9241912255816348
125,0.9195843342415511
126,0.9148537894722966
127,0.910000985387128
128,0.9050273521296834
129,0.8999343554525127
130,0.8947234962851127
131,0.8893963102915979
132,0.8839543674181322
133,0.8783992714302583
134,0.8727326594402618
135,0.8669562014247053
136,0.8610715997322798
137,0.8550805885821139
138,0.8489849335526922
139,0.8427864310615302
140,0.8364869078357632
141,0.8300882203738003
142,0.8235922543982059
143,0.8072459381860366
144,0.8103161725743246
145,0.8035399692482875
146,0.7966743113000809
147,0.789721222070615
148,0.7826827506672001
149,0.7755609713596648
150,0.7683579829690599
151,0.7610759082491255
152,0.7537168932607055
153,0.7394711753350667
